#TYPE System.ServiceProcess.ServiceController
"Name","RequiredServices","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","ServiceHandle","Status","ServiceType","StartType","Site","Container"
"ADWS","System.ServiceProcess.ServiceController[]","False","True","True","Services Web Active Directory","System.ServiceProcess.ServiceController[]",".","ADWS","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"AppMgmt","System.ServiceProcess.ServiceController[]","False","False","True","Gestion d?applications","System.ServiceProcess.ServiceController[]",".","AppMgmt","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Manual",,
"BFE","System.ServiceProcess.ServiceController[]","False","False","True","Moteur de filtrage de base","System.ServiceProcess.ServiceController[]",".","BFE","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"BrokerInfrastructure","System.ServiceProcess.ServiceController[]","False","False","False","Service d?infrastructure des t?ches en arri?re-plan","System.ServiceProcess.ServiceController[]",".","BrokerInfrastructure","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"CDPSvc","System.ServiceProcess.ServiceController[]","False","False","True","Service de plateforme des appareils connect?s","System.ServiceProcess.ServiceController[]",".","CDPSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"CDPUserSvc_5c3d4","System.ServiceProcess.ServiceController[]","False","False","True","Service pour utilisateur de plateforme d?appareils connect?s_5c3d4","System.ServiceProcess.ServiceController[]",".","CDPUserSvc_5c3d4","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","224","Automatic",,
"CertPropSvc","System.ServiceProcess.ServiceController[]","False","True","True","Propagation du certificat","System.ServiceProcess.ServiceController[]",".","CertPropSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Manual",,
"CoreMessagingRegistrar","System.ServiceProcess.ServiceController[]","False","False","False","CoreMessaging","System.ServiceProcess.ServiceController[]",".","CoreMessagingRegistrar","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"CryptSvc","System.ServiceProcess.ServiceController[]","False","True","True","Services de chiffrement","System.ServiceProcess.ServiceController[]",".","CryptSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"DcomLaunch","System.ServiceProcess.ServiceController[]","False","False","False","Lanceur de processus serveur DCOM","System.ServiceProcess.ServiceController[]",".","DcomLaunch","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"Dfs","System.ServiceProcess.ServiceController[]","False","False","True","Espace de noms DFS","System.ServiceProcess.ServiceController[]",".","Dfs","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"DFSR","System.ServiceProcess.ServiceController[]","False","True","True","R?plication DFS","System.ServiceProcess.ServiceController[]",".","DFSR","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"Dhcp","System.ServiceProcess.ServiceController[]","False","True","True","Client DHCP","System.ServiceProcess.ServiceController[]",".","Dhcp","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"DHCPServer","System.ServiceProcess.ServiceController[]","True","True","True","Serveur DHCP","System.ServiceProcess.ServiceController[]",".","DHCPServer","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"DiagTrack","System.ServiceProcess.ServiceController[]","False","True","True","Exp?riences des utilisateurs connect?s et t?l?m?trie","System.ServiceProcess.ServiceController[]",".","DiagTrack","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
